Generation,Best Fitness Constrained,Mean Fitness Constrained
1,79120.41995345773,143317.31410108527
2,71682.07299604232,123011.89125327584
3,71682.07299604232,109068.76907354667
4,71682.07299604232,100840.71443214855
5,71682.07299604232,88320.40270084048
6,71514.43247554956,79364.44021027628
7,71514.43247554956,72827.16911832055
8,71682.07299604232,73947.91822482672
9,71682.07299604232,73317.03586569238
10,71682.07299604232,72261.75674675006
11,71682.07299604232,72578.2411918918
12,71682.07299604232,74122.61931711387
13,71682.07299604232,72511.99718252927
14,71682.07299604232,72716.6092864116
15,71682.07299604232,72576.72445224576
16,71682.07299604232,72917.00641748095
17,71682.07299604232,72617.82452553786
18,71682.07299604232,72781.03484463414
19,71682.07299604232,72574.44243962511
20,71682.07299604232,72272.77080928687
