Generation,Best Fitness Unconstrained,Mean Fitness Unconstrained
1,75314.43374041215,142622.7875048944
2,76316.81482002408,129614.10371179442
3,76316.81482002408,115487.11678041867
4,76316.81482002408,102666.10480353377
5,71514.43247554956,94194.15966389903
6,71514.43247554956,91281.65985332687
7,74588.465836372,85413.65873352454
8,74588.465836372,82346.26655507533
9,71437.32762872291,79334.6745797864
10,71437.32762872291,78452.04982027183
11,70269.74646100462,77995.25919191648
12,70269.74646100462,76379.6446285817
13,70269.74646100462,73404.97358220216
14,70269.74646100462,72884.4710448309
15,70160.88524201949,71986.81987813853
16,70269.74646100462,71315.09564939371
17,70160.88524201949,72681.22561700898
18,70160.88524201949,71976.33512303277
19,70160.88524201949,71726.88119424098
20,70160.88524201949,71901.56495640054
